objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,shade
class_colors_01,jw_color_image.jpeg,,,Crochet Teal Stingray Pillow,,2/19/2025,A photo of a handmade crocheted teal stingray pillow/stuffed animal on top of a blanket. ,Blue,,44,-123,<a href="www.google.com">Link</a>,,Image;StillImage,image/jpeg,,,,Cool
class_colors_02,P1010373.JPG,,,blueflowers,,3/24/2025,small blue flowers,Blue,,44.3,-121,,,Image;StillImage,image/jpeg,,,,Cool
class_colors_03,gaede_orange_01.jpeg,,,Watch Your Step,,1/11/2025,"Watch your step sign at Hollywood Theater in Portland, OR",Orange,,43,-120.5,,,Image;StillImage,image/jpeg,,,,Warm
class_colors_04,johnson_blue.jpeg,,,Nas Concert,,10/25/2024,The opening to a Nas concert in Copenhagen,Blue,,42.5,-119,,,Image;StillImage,image/jpeg,,,,Cool
class_colors_05,willamette_river_kfields.jpg,,,Photograph of Willamette River,,4/17/2025,"A photo of the Willamette river, taken from Owosso Bridge in Eugene, Oregon.",Blue,,43,-120,,,Image;StillImage,image/jpeg,,,,Cool
class_colors_06,IMG_4811.jpeg,,,DJ set at Rave,,3/28/2025,A photo of a stage at a rave called beyond wonderland,Purple,,44,-118,,,Image;StillImage,image/jpeg,,,,Cool
class_colors_07,f21finalsale.jpeg,,,shopping bags.,,3/30/2025,forever21 shopping bags in backseat. ,Yellow,,42.5,-123.4,,,Image;StillImage,image/jpeg,,,,Warm
class_colors_08,connor_and_bane.jpg,,,connor_and_bane,,3/30/2025,My cat whos name is bane on my friend connors back,Black,,44,-120,,,Image;StillImage,image/jpeg,,,,Cool
class_colors_09,lithodora_ustreet.jpg,,,lithodora_ustreet,,4/23/2025,blue flowers on way to work,Blue,,44,-121,,,Image;StillImage,image/jpeg,,,,Cool
class_colors_10,portland_japanese_gardens_2024.jpg,,,portland_japanese_gardens_2024,,9/13/2024,Picture of a structure and surrounding foliage taken at the Portland Japanese Gardens. ,Green,,43,-120.5,,,Image;StillImage,image/jpeg,,,,Cool
class_colors_11,pinkbear.jpg,,,pinkbear,,4/24/2025,A pink vase that is shaped like a teddy bear,Pink,,44,-122,,,Image;StillImage,image/jpeg,,,,Warm
class_colors_12,red_sauce_emw.jpg,,,Red Cranberry Compote,,11/21/2024,A reddish compote of Oregon cranberries in a saucepan.,Red,,42.5,-121,,,Image;StillImage,image/jpeg,,,,Warm
